username,userid,profile_location,created_at,text,retweet_count,source,coordinates
SequenceCentral,249532641,"Palo Alto, CA",2023-01-22 21:10:52,4 investors discuss the next big wave for alternative seafood startups https://t.co/lSzgm1TsX7 #tech,0,SCBOT5,
Jeremy Schifeling,2388211153,"Mountain View, CA",2023-01-22 20:00:31,"If you love the idea of understandind your customers, orchestrating awesome campaigns, and delivering big results,… https://t.co/pkbFPLPH3c",0,Missinglettr,
Punit Agrawal,22600019,"San Jose, CA",2023-01-22 19:30:19,"2023 is going to be the year of the startups. Extremely qualified, brilliant engineers laid off from big tech, with… https://t.co/4oI9FUoiYj",0,Twitter for iPhone,
"SaaS CTO, Ph.D.",1590399712082870274,Silicon Valley,2023-01-22 18:40:27,@Matveyich @Carnage4Life Is your contention that big tech *didn't* overhire during the last year?  That companies l… https://t.co/zhozEVXEK4,0,Twitter for Android,
SequenceCentral,249532641,"Palo Alto, CA",2023-01-22 18:06:23,'Big Short' investor Danny Moses to investors: Avoid Tesla stock https://t.co/uDh9pGHEsx #tech,0,SCBOT5,
🟩 Soulaima Gourani,21076906,"Palo Alto, CA",2023-01-22 14:04:09,Are you effected by the cuts at big tech companies? If you are  interested in exploring opportunities with a future… https://t.co/ArPmhEYirg,3,Twitter for iPhone,
Sight Tech Global,1276496335655534597,"Palo Alto, California",2023-01-22 13:03:21,"Epic #Engadget survey of the ongoing accessibility work at the major tech companies. Thank you @CherlynnLow! 
https://t.co/iWeoLoPGa4",0,Twitter Web App,
SequenceCentral,249532641,"Palo Alto, CA",2023-01-22 05:09:47,4 investors discuss the next big wave for alternative seafood startups https://t.co/lSzgm1TsX7 #tech,0,SCBOT5,
Shailesh Tyagi,74951037,"Palo Alto, CA",2023-01-22 03:53:17,Layoffs at big companies are making news but 60% tech startups will not see the sunrise of 2024. Giving millions to… https://t.co/FAhsxfoOfA,0,Twitter Web App,
Todd Yancey,20808464,"Atherton, California",2023-01-22 03:29:31,"Apple’s workforce grew 20% in the past three years, a far slower pace than rivals—allowing it to largely avoid the… https://t.co/TLEEKWMLNW",0,Twitter for iPad,
SequenceCentral,249532641,"Palo Alto, CA",2023-01-22 03:09:24,'Big Short' investor Danny Moses to investors: Avoid Tesla stock https://t.co/uDh9pGIci5 #tech,0,SCBOT5,
Pata van goon,1506722778405388289,"Atherton, CA",2023-01-21 23:53:48,why tf are we letting twinks be in charge of big tech companies,0,Twitter for Android,
Rangaraj Srikanth,1131664725358460934,"Santa Clara, CA",2023-01-21 23:11:14,"3. This has avoided layoffs up until now.
4. Yet, inspite of doing his job exceptionally well, still took a pay cut… https://t.co/g5vImIkQBw",0,Twitter for iPhone,
Aficionado of SiliconValley,917138718988947457,"Silicon Valley,CA",2023-01-21 21:45:01,"@Jason Not so many people have original thoughts on startup, popping out products doesn’t guarantee success…person… https://t.co/5im0cidnLc",0,Twitter for iPhone,
Adam Michael Wood,767563121334505473,"Mountain View, CA",2023-01-21 19:28:12,@Iwillleavenow Big tech is wildly inefficient with staffing. A 10% - 20% reduction is almost certainly warranted… i… https://t.co/lgJmr37FoM,0,Twitter for iPhone,
Savita Kini,60834999,"Menlo Park, CA",2023-01-21 18:19:43,"@dscheinm I agree. For those of us who saw 2001 crash, this is not even that bad. Imagine 8500 employees from Cisco… https://t.co/oXqZsOl32x",0,Twitter for iPhone,
Monique,1125655320762576897,"Stanford, CA",2023-01-21 18:08:16,@christinexlin hey christine! refer me has a discord community with a big tech designer doing free design reviews.… https://t.co/tZXfGpIzNh,0,Twitter Web App,
Josh Wetzel,7380242,"Menlo Park, CA",2023-01-21 17:07:07,"Apple’s workforce grew 20% in the past three years, a far slower pace than rivals—allowing it to largely avoid the… https://t.co/B0fKE6Dv8a",0,Twitter Web App,
Dementia Joey,1482263862883717121,"Atherton, CA",2023-01-21 15:06:14,@KeitaKay @RubenNatal @SpeakerMcCarthy 1/2 It's a shame more have died under the Biden Admin than DT. To bad Democr… https://t.co/sJ7OKFbasw,0,Twitter Web App,
Kanthasamy Chelliah,832836277884112896,"Sunnyvale, CA",2023-01-21 04:52:24,"@jcj Sad to hear! At Amazon, at least my director called to inform me when I was laid off. I guess loyalty is a one… https://t.co/KToLJKt3dI",0,Twitter for iPhone,
An actual wad of meat.,10427362,"Silicon Valley, CA",2023-01-21 04:10:51,"@curtdoolittle @odannyboy Sorry, I guess I’ve only been in tech in Silicon Valley for 25 years (including dot com a… https://t.co/klyygl74Ae",0,Twitter for iPhone,
Jacob Engel,1339752436362260481,Atherton ,2023-01-21 04:00:45,@IgnitePR Awesome news. Now let’s see if they don’t get washed over by big tech that’s trying to take the helm,0,Twitter for iPhone,
Michael 🧾,248450041,"San Jose, California",2023-01-21 03:46:29,"A lot of people at Google lost their jobs today, and most of those who didn’t have fewer friends at work and more w… https://t.co/IuVNPLr88S",0,Twitter Web App,
Jim Eagle,953456233041641472,"Santa Clara, CA",2023-01-21 01:36:12,@TheQuartering what big tech pushback?,0,Twitter Web App,
Jim Eagle,953456233041641472,"Santa Clara, CA",2023-01-21 01:31:04,@thevivafrei @scrowder @realDailyWire i am a mug club member and a daily wire subscriber. Seems to me that Crowder… https://t.co/y3d8Adlaxk,0,Twitter Web App,
Jim Eagle,953456233041641472,"Santa Clara, CA",2023-01-21 01:27:10,"@CassandraRules Just like crowder, the daily wire uses big tech for their own purposes.  Their subscriber base is h… https://t.co/wsSqGRkrSa",0,Twitter Web App,
Mertay Dayanc,1532096917953339392,"San Jose, CA",2023-01-21 00:46:58,If all those talented people who were let go from big tech has enough savings they will probably going to try to build something,0,Twitter for iPhone,
no,3494982373,silicon valley,2023-01-21 00:41:29,"this won’t end anytime soon. big tech could still afford to trim 15-20% more off their headcount 

i miss a 0% inte… https://t.co/C0IZPt8B47",0,Twitter for iPhone,
lord pretty flacko,1593057516576919552,silicon valley,2023-01-21 00:38:09,"@ariel_n @jenistyping great perspective. felt similarly here with how underwhelming many tech co’s are, esp if clai… https://t.co/jPZhxg5KN1",0,Twitter for iPhone,
Sandesh Rao,11594432,Foster City,2023-01-20 23:25:00,"Google cuts 12,000 jobs in latest round of big tech layoffs
 https://t.co/EW3qQin0fQ",0,Twitter for iPhone,
Adam Nash,1421521,Silicon Valley,2023-01-20 23:08:42,@GergelyOrosz ... some of us learned these lessons in a lot of the Big Tech layoffs in the early 1990s. Others afte… https://t.co/h1Uibq2PMT,2,Twitter Web App,
Donald,12925792,"San Jose,CA",2023-01-20 21:54:07,@Tys1961 @shuravko @BrokeAssStuart It’s not that simple when big tech sensors free thinkers’#! 1776 this is MAGA country,0,Twitter for iPhone,
Marta Rauch,17671301,Silicon Valley,2023-01-20 21:44:45,Big Boy needed to modernize its operations and customer service while also preparing for the future. They found the… https://t.co/YPZHVLg3Lk,0,Powered by Sprinklr,
SequenceCentral,249532641,"Palo Alto, CA",2023-01-20 21:25:22,"The big risk in the most-popular, and aging, big tech default email programs https://t.co/qiyABhSGlx #tech #business #news",0,SCBOT5,
#Jamboman,3159970819,"San Jose, CA ",2023-01-20 20:09:21,@KDallas368 @TheLaurenChen Not really. They are building their own subscriber based system that is outside of big tech.,0,Twitter Web App,
Tuna Toksoz,11712342,"Mountain View, CA",2023-01-20 19:13:31,"@HariShiyani I don't have a crystal ball.

Looking at past, and today, startups already started their round #2 of l… https://t.co/YnWWUFUHeN",0,Twitter Web App,
Pata van goon,1506722778405388289,"Atherton, CA",2023-01-20 19:04:30,wtf I love google now this is the exact type of ruthlessness big tech companies should adopt https://t.co/1Nn0lLHPqr,0,Twitter for Android,
SiliconBeat,525839377,Silicon Valley,2023-01-20 18:59:16,"Bay Area defies tech layoffs, powers to big job gains in December https://t.co/VwOVpxQY8u",0,SocialFlow,
Mercury News,10433782,"Silicon Valley, CA",2023-01-20 18:51:01,"Bay Area defies tech layoffs, powers to big job gains in December https://t.co/D2qoB01CKf",2,SocialFlow,
Tuna Toksoz,11712342,"Mountain View, CA",2023-01-20 18:47:58,Big tech lay offs round #1 is complete.,1,Twitter Web App,
Stephanie J. Moore,837376729014538240,"San Jose, CA",2023-01-20 18:46:03,"Businesses, users, and experts defend big tech against algorithm lawsuits. https://t.co/e8OKW75hOj https://t.co/gggaKD4Em6",0,dlvr.it,
SequenceCentral,249532641,"Palo Alto, CA",2023-01-20 17:17:42,'Big Short' investor Danny Moses to investors: Avoid Tesla stock https://t.co/uDh9pGIci5 #tech,0,SCBOT5,
Truth B.Told,804923094737399808,"San Jose,  ",2023-01-20 17:05:17,"Big tech laying off hughly in a robust economy.

WTF?",0,Twitter for iPad,
Stephen Forte 🦇🔊,142634586,"Menlo Park, CA",2023-01-20 16:17:43,"@nic__carter My portfolio companies can't hire a developer at all, the developers are being hoarded by big tech. MS… https://t.co/yaRUXvjkSp",0,Twitter Web App,
zengjiajun.eth,1162798396756807680,"San Jose, CA",2023-01-20 15:18:46,"Every time there’s a mass layoff, mass value creation happens after. It’s much much easier for startup to hire peop… https://t.co/4aMj8YOHmz",0,Twitter for iPhone,
Sachin Rekhi,7234632,"Menlo Park, CA",2023-01-20 14:59:44,"Big Tech layoffs continue: now 12K at Google on top of 10K at Microsoft, 18K at Amazon, 11K at Meta, 4K at Twitter,… https://t.co/2tSakWsEk8",1,Twitter for iPhone,
Jeffrey Levin 🇺🇦,24733117,"San Jose, CA",2023-01-20 13:55:47,"Google parent Alphabet to cut 12,000 jobs, citing 'economic reality' in latest big tech layoffs: Google parent Alph… https://t.co/NmFS0hu3YX",5,SocialOomph,
AppleInsider,20542450,"Cupertino, California",2023-01-20 13:41:21,"The high-volume layoffs from big tech companies are still going, with Microsoft laying off 10,000, and Google axing… https://t.co/LjAcZ7FQxm",7,Appleinsider.com ,
Coltan Scrivner,170815973,"San Carlos, CA",2023-01-20 07:11:25,"@MikeCrespin @profmusgrave Worth noting that ""senior uxr"" is probably not the equivalent of a tenured full professo… https://t.co/lsMee0ZHjM",0,Twitter for Android,
Michael,1049077039104315394,"San Jose, CA",2023-01-20 03:49:38,@wruck_harry Im@a big fan of tech so give me the future,0,Twitter for iPhone,
Stephan Fitch🇺🇦,1367859716,Silicon Valley,2023-01-20 03:24:30,"@Cramest1 @TomJChicago He probably wears reading glasses -maybe he wasn’t wearing them. By the way, some pundit or… https://t.co/zEweHl27Uh",0,Twitter for iPad,
Jeffrey Levin 🇺🇦,24733117,"San Jose, CA",2023-01-20 01:35:49,Why the Jan. 6 committee's final report was a tremendous gift to Big Tech via MSNBC https://t.co/pfD4VjliFK,1,SocialOomph,
California Crypto 🇺🇸,217293894,"Cupertino, CA",2023-01-20 01:33:37,@MattWalshBlog Matt is showing everyone that he is Big Con and in favor of conservatives being censored by big tech… https://t.co/rdmskx3s0O,0,Twitter for iPhone,
Frank Stanton,922364427982090240,"San Jose, CA",2023-01-20 01:08:07,"He won't care. He's representative of the New San Francisco, filled with Big Tech Money and NYMBYs. They can afford… https://t.co/oA5aGnfIEb",0,Twitter Web App,
California Crypto 🇺🇸,217293894,"Cupertino, CA",2023-01-20 00:50:36,@thevivafrei Viva is alright with conservative organizations being another arm of Big Tech used to censor conservatives,0,Twitter for iPhone,
California Crypto 🇺🇸,217293894,"Cupertino, CA",2023-01-20 00:19:34,@scrowder Daily Wire is just another way for Big Tech to censor conservatives how ironic 🤦🏼‍♂️,0,Twitter for iPhone,
🏳️‍⚧️ Sonic the Were-Unicorn 🐊 ACAB 🐊 BLM,563111979,"San Jose, CA",2023-01-19 22:32:35,myyla-x: tails notices people get bored or don’t pay attention to his tech rambles so he stops doing them and limit… https://t.co/EPonFlkd2U,0,Tumblr,
SoundHound,3017853822,"Santa Clara, CA",2023-01-19 22:16:43,"Once upon a time, the biggest technology complaint from restaurants is the lack of vendor integrations within their… https://t.co/eRGAnaAYLv",1,Twitter Web App,
🅓 🗡️,365295739,"San Jose, CA",2023-01-19 21:42:06,"Tech nerds have run out of ideas 

https://t.co/87on3QTG0Y",1,Twitter for iPhone,
"David West, Jr.",185071900,"San Jose, CA",2023-01-19 20:35:02,"a solid path on ARR expansion and profitable growth will likely be the big winners. 

#CyberSec #CNBC #TechCheck… https://t.co/ZRE4ffwdfS",0,Twitter Web App,
Words Words,946732474859536384,"Sunnyvale, CA",2023-01-19 20:29:34,"@RepBoebert @GOPoversight And are we going to get Republican-led investigations into Biden, the 2020 election, the… https://t.co/hVAXmykLsc",0,Twitter Web App,
SequenceCentral,249532641,"Palo Alto, CA",2023-01-19 19:59:42,'Big Short' investor Danny Moses to investors: Avoid Tesla stock https://t.co/uDh9pGIci5 #tech,0,SCBOT5,
Marci McCue,19678305,"Palo Alto, CA",2023-01-19 19:33:41,"ChatGPT fascinates, amazes and scares me. This collection of stories covers some of the big questions out there.  https://t.co/ExMAXopWtJ",0,Twitter for iPhone,
🦅🦅Mike🦅🦅,136410125,"Palo Alto, California",2023-01-19 19:19:51,"@IfThineEye Yes, there were competing technologies, used to accomplish the same goals. The sound wave tech was the… https://t.co/50xTT9GeIo",0,Twitter for iPhone,
