username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Emma Beverage #NoMore #AbolishPolice #LandBack,143904132,"Austin, TX",2023-01-21 05:23:59,"SCOTUS Looking For ROE Leaker, US Debt Ceiling Crisis, Big Tech Layoffs ... https://t.co/MiAQwBTwbI via @YouTube",0,Twitter Web App,
Paco,4036077013,"Austin, TX",2023-01-21 04:45:51,@walkerjian @jcj Bro I doubt anyone at big tech have stock in the company they work for,0,Twitter for iPhone,
Prospector,1519844012978765824,Aus,2023-01-21 03:33:28,"@DoctorJustice1 I don't know if they are controlled opposition. 🤷

But they are all in a parasitic relationship wit… https://t.co/gll8rRgQON",0,Twitter Web App,
Colin Pear,302811479,"Austin, TX",2023-01-21 03:12:15,"@manekinekko Oh boy. Good to know. For a minute there, I was certain that all the big tech layoffs were happening b… https://t.co/miIaGLPGyT",0,Twitter for Android,
matty.,1482769455218413574,"Austin, TX",2023-01-21 02:25:52,"Outside of Tech, Kansas State and West Virginia are probably my favorite fan bases in the Big 12.  Damn shame they’… https://t.co/p9j3CxfSaa",0,Twitter for iPhone,
Cheetoh Fingers,53183278,Austin,2023-01-21 02:18:49,"@IanColdwater A lot of smaller, but growing tech companies who need to scale efficiently could really use folks fro… https://t.co/p2DAq9ImWM",0,Twitter for iPhone,
Jon Kozak,1023202661447950337,"Austin, TX",2023-01-21 02:00:35,"Big win for Andy Smith over Isaac Trumble - that locks up the dual for Virginia Tech!

Incredible dual",0,Twitter Web App,
Verdict,1270795774364913666,"Austin, TX",2023-01-21 01:22:08,@kosmickoehn @SladeX2000 @pastorb_ifb @Fillenwar1Dalen @benshapiro He may be demonetized but he uses big tech to re… https://t.co/PKKpbDdPu4,0,Twitter for Android,
Matty IceT,887892512,Austin Tx,2023-01-21 01:19:54,@JasonVaughn @Kellyatthebeach @HarrisonKrank The point is they shouldn’t be relying on YouTube(big tech) monetization to be profitable.,0,Twitter for iPhone,
Prospector,1519844012978765824,Aus,2023-01-21 01:18:34,"@Timcast @scrowder It seems the main problem is the hosting, &amp; how fickle it is.

Maybe the solution is to take a h… https://t.co/rtVWyrx2E6",0,Twitter Web App,
HHHHH,2715772722,Aus,2023-01-21 00:55:13,@Lukewearechange crowder is trying to build his own platform at the expense of the daily wire. he was saying he wil… https://t.co/71mr3wTzev,0,Twitter Web App,
Colin Pear,302811479,"Austin, TX",2023-01-21 00:23:35,All of the big tech layoffs suck. At least they are getting outstanding severance packages. 30 weeks from Google! Wow!,0,Twitter for Android,
Verdict,1270795774364913666,"Austin, TX",2023-01-20 21:28:35,@SladeX2000 @pastorb_ifb @Fillenwar1Dalen @benshapiro Steven Crowder already follows the whims of YouTube. He speci… https://t.co/q4LfxxiBss,0,Twitter for Android,
Eric Clemmons,14457722,"Austin, TX",2023-01-20 20:59:12,"I remember being in a small company that was wildly profitable.

But the graph wasn’t going up and to the right as… https://t.co/NfbwhoR9Sq",0,Twitter for iPhone,
Clinton Rarey,1522329382001463296,Austin,2023-01-20 19:19:19,@Cdozo @LoewyLawFirm We've all been misled by big tech &amp; the renewable sector on how they do business. I don't blam… https://t.co/YJ1Skeut5N,0,Twitter for Android,
Wait Capital,998910748054179840,"Austin, TX",2023-01-20 19:02:43,"big tech going vertical  e.g., NVDA, MSFT, GOOGL, AAPL, which yields creep higher.",0,Twitter Web App,
Oracle,809273,"Austin, TX",2023-01-20 19:01:01,"From payment processing to inventory management, @ItsYourBigBoy selects our MICROS Simphony POS and Payment Cloud S… https://t.co/0cfF7BpuLo",6,Sprinklr,
Juan Pablo Chapa,1427694477737545729,"Austin, TX",2023-01-20 18:59:38,Given this continued growth (&amp; demand for talent) across the software industry we expect smaller tech companies to… https://t.co/glgE8rXTsk,0,Twitter for iPhone,
Nis,277155639,"Austin, TX",2023-01-20 17:37:07,@AdamSinger Big tech layoffs will shift talented people to far more productive roles elsewhere.,0,Twitter for iPhone,
Sam Padilla,247016876,"Austin, Texas",2023-01-20 16:53:08,"I don't care how anti Big Tech you are, if you celebrate people losing their jobs you are simply a terrible person.",0,Twitter Web App,
Curtis Michael,1116127207,Austin/Seattle,2023-01-20 16:04:18,"Big Tech layoffs 
- 12K at Google
- 10K at Microsoft
- 18K at Amazon
- 11K at Meta
- 4K at Twitter
- 8K at Salesforce",0,Twitter for iPhone,
